"Local", "Esgotamento sanitário adequado"
"Água Branca", 27.2
"Anadia", 18.6
"Arapiraca", 19.1
"Atalaia", 23.2
"Barra de Santo Antônio", 23.4
"Barra de São Miguel", 52.7
"Batalha", 21
"Belém", 18.8
"Belo Monte", 34.1
"Boca da Mata", 65.5
"Branquinha", 36.3
"Cacimbinhas", 0.4
"Cajueiro", 9.2
"Campestre", 55.1
"Campo Alegre", 24
"Campo Grande", 7.4
"Canapi", 6.2
"Capela", 55.3
"Carneiros", 0.2
"Chã Preta", 5.9
"Coité do Nóia", 1.8
"Colônia Leopoldina", 66.6
"Coqueiro Seco", 16.4
"Coruripe", 16
"Craíbas", 7.4
"Delmiro Gouveia", 72.7
"Dois Riachos", 0.9
"Estrela de Alagoas", 6.4
"Feira Grande", 7.8
"Feliz Deserto", 1.5
"Flexeiras", 59
"Girau do Ponciano", 2.3
"Ibateguara", 56.6
"Igaci", 6.2
"Igreja Nova", 7.2
"Inhapi", 12.6
"Jacaré dos Homens", 6.7
"Jacuípe", 24.3
"Japaratinga", 11.3
"Jaramataia", 1.3
"Jequiá da Praia", 2.1
"Joaquim Gomes", 16.1
"Jundiá", 4.2
"Junqueiro", 1.2
"Lagoa da Canoa", 5.2
"Limoeiro de Anadia", 11.6
"Maceió", 47.1
"Major Isidoro", 23.8
"Maragogi", 38.8
"Maravilha", 13.1
"Marechal Deodoro", 28.1
"Maribondo", 68.6
"Mar Vermelho", 14.9
"Mata Grande", 19.8
"Matriz de Camaragibe", 9.3
"Messias", 32.4
"Minador do Negrão", 0.6
"Monteirópolis", 0.8
"Murici", 67.1
"Novo Lino", 33.6
"Olho d'Água das Flores", 2.3
"Olho d'Água do Casado", 11.7
"Olho d'Água Grande", 0.5
"Olivença", 0.7
"Ouro Branco", 3.5
"Palestina", 6.2
"Palmeira dos Índios", 13.6
"Pão de Açúcar", 17.8
"Pariconha", 4.6
"Paripueira", 12.9
"Passo de Camaragibe", 3
"Paulo Jacinto", 12.6
"Penedo", 30
"Piaçabuçu", 41.4
"Pilar", 26.3
"Pindoba", 0.2
"Piranhas", 50.6
"Poço das Trincheiras", 3.4
"Porto Calvo", 16.2
"Porto de Pedras", 4
"Porto Real do Colégio", 38.9
"Quebrangulo", 11.7
"Rio Largo", 34.1
"Roteiro", 6.7
"Santa Luzia do Norte", 3.5
"Santana do Ipanema", 5.8
"Santana do Mundaú", 6.9
"São Brás", 16.6
"São José da Laje", 66.1
"São José da Tapera", 4.6
"São Luís do Quitunde", 13.5
"São Miguel dos Campos", 60.6
"São Miguel dos Milagres", 8
"São Sebastião", 1.9
"Satuba", 70.4
"Senador Rui Palmeira", 6.5
"Tanque d'Arca", 2.8
"Taquarana", 9.4
"Teotônio Vilela", 47.1
"Traipu", 10
"União dos Palmares", 63.2
"Viçosa", 31.7
