"Local", "Esgotamento sanitário adequado"
"Alcobaça", 31.7
"Almadina", 71.8
"Anagé", 19.3
"Arataca", 18.8
"Aurelino Leal", 51.7
"Barra do Choça", 28.8
"Barro Preto", 72.2
"Belmonte", 58.3
"Belo Campo", 2.6
"Bom Jesus da Serra", 1.4
"Buerarema", 65.5
"Caatiba", 60.4
"Caculé", 18.5
"Camacan", 74.2
"Canavieiras", 55.3
"Candiba", 1.2
"Cândido Sales", 7.6
"Caraíbas", 4
"Caravelas", 24
"Coaraci", 83.6
"Condeúba", 8.3
"Cordeiros", 0.5
"Dário Meira", 48.8
"Encruzilhada", 20.4
"Eunápolis", 37.4
"Firmino Alves", 74
"Floresta Azul", 69.6
"Guajeru", 0.9
"Guaratinga", 42.3
"Ibicaraí", 63.3
"Ibicuí", 62.2
"Ibirapuã", 48.7
"Iguaí", 57.1
"Ilhéus", 65.9
"Itabela", 4.4
"Itabuna", 81.2
"Itagimirim", 77.3
"Itaju do Colônia", 67.6
"Itajuípe", 58.9
"Itamaraju", 55.3
"Itambé", 84.1
"Itanhém", 66.1
"Itapé", 60.3
"Itapebi", 5.7
"Itapetinga", 92.4
"Itapitanga", 79.4
"Itarantim", 76.6
"Itororó", 71.9
"Jacaraci", 6.4
"Jucuruçu", 35.7
"Jussari", 65.6
"Lajedão", 68.9
"Licínio de Almeida", 4.7
"Macarani", 79.5
"Maetinga", 23.5
"Maiquinique", 76.6
"Mascote", 45.6
"Medeiros Neto", 35.3
"Mortugaba", 1.6
"Mucuri", 30
"Nova Canaã", 44.8
"Nova Viçosa", 18.3
"Pau Brasil", 63.6
"Pindaí", 2.9
"Piripá", 4.8
"Planalto", 2.8
"Poções", 63
"Porto Seguro", 66.7
"Potiraguá", 77.5
"Prado", 14
"Presidente Jânio Quadros", 29.9
"Ribeirão do Largo", 30.4
"Santa Cruz Cabrália", 47.7
"Santa Cruz da Vitória", 76.8
"Santa Luzia", 45.5
"São José da Vitória", 78.1
"Sebastião Laranjeiras", 12.7
"Teixeira de Freitas", 75.9
"Tremedal", 7.6
"Una", 26.6
"Urandi", 7.6
"Uruçuca", 65.4
"Vereda", 30.4
"Vitória da Conquista", 58.3
"Abaíra", 12.2
"Abaré", 44.5
"Acajutiba", 8.1
"Adustina", 23.8
"Água Fria", 2.6
"Érico Cardoso", 0.8
"Aiquara", 64.3
"Alagoinhas", 54.6
"Amargosa", 22.7
"Amélia Rodrigues", 10
"América Dourada", 2.8
"Andaraí", 12
"Andorinha", 34.8
"Angical", 18.6
"Anguera", 25.5
"Antas", 50.1
"Antônio Cardoso", 10.8
"Antônio Gonçalves", 12.4
"Aporá", 1
"Apuarema", 42.3
"Araçás", 2.7
"Araci", 32.1
"Aramari", 8.2
"Aratuípe", 21.6
"Baianópolis", 10
"Baixa Grande", 34.9
"Banzaê", 20.9
"Barra", 16.4
"Barra da Estiva", 49.1
"Barra do Mendes", 2.2
"Barra do Rocha", 55.3
"Barreiras", 34.9
"Barro Alto", 7.1
"Barrocas", 26.9
"Biritinga", 15.5
"Boa Vista do Tupim", 5.4
"Bom Jesus da Lapa", 37.3
"Boninal", 15.8
"Bonito", 6.4
"Boquira", 3.1
"Botuporã", 29.4
"Brejões", 30.5
"Brejolândia", 1.2
"Brotas de Macaúbas", 20.4
"Buritirama", 3.5
"Cabaceiras do Paraguaçu", 6
"Cachoeira", 51.4
"Caém", 9.2
"Cafarnaum", 4.6
"Cairu", 44.8
"Caldeirão Grande", 6.7
"Camaçari", 64.8
"Camamu", 31.2
"Campo Alegre de Lourdes", 5.6
"Campo Formoso", 13.3
"Canápolis", 17.4
"Canarana", 1.5
"Candeal", 0.7
"Candeias", 73.9
"Cansanção", 30.3
"Canudos", 17.1
"Capela do Alto Alegre", 30.9
"Capim Grosso", 12.1
"Cardeal da Silva", 16.4
"Casa Nova", 38.8
"Castro Alves", 55.7
"Catolândia", 9.4
"Catu", 71.2
