"Local", "Esgotamento sanitário adequado"
"Açailândia", 13
"Afonso Cunha", 2.5
"Água Doce do Maranhão", 1.3
"Alcântara", 6.5
"Aldeias Altas", 8
"Altamira do Maranhão", 4
"Alto Alegre do Maranhão", 21
"Alto Alegre do Pindaré", 9.1
"Alto Parnaíba", 2.5
"Amapá do Maranhão", 28.9
"Amarante do Maranhão", 3.8
"Anajatuba", 10.8
"Anapurus", 4.8
"Apicum-Açu", 0.9
"Araguanã", 14.8
"Araioses", 14.9
"Arame", 12.8
"Arari", 48.8
"Axixá", 33.1
"Bacabal", 30.3
"Bacabeira", 31
"Bacuri", 12.7
"Bacurituba", 0.7
"Balsas", 18
"Barão de Grajaú", 5.1
"Barra do Corda", 13.5
"Barreirinhas", 15.7
"Belágua", 3.6
"Bela Vista do Maranhão", 6.4
"Benedito Leite", 35
"Bequimão", 5.3
"Bernardo do Mearim", 26.6
"Boa Vista do Gurupi", 4.6
"Bom Jardim", 4.1
"Bom Jesus das Selvas", 22
"Bom Lugar", 1.7
"Brejo", 18.5
"Brejo de Areia", 0.4
"Buriti", 5
"Buriti Bravo", 6.1
"Buriticupu", 6.4
"Buritirana", 4.6
"Cachoeira Grande", 2.6
"Cajapió", 32.1
"Cajari", 4.3
"Campestre do Maranhão", 2
"Cândido Mendes", 19.4
"Cantanhede", 33.9
"Capinzal do Norte", 8.4
"Carolina", 28.3
"Carutapera", 19.4
"Caxias", 26.5
"Cedral", 1.8
"Central do Maranhão", 7.5
"Centro do Guilherme", 6.7
"Centro Novo do Maranhão", 10.3
"Chapadinha", 16.1
"Cidelândia", 0.8
"Codó", 24.2
"Coelho Neto", 6.9
"Colinas", 4.3
"Conceição do Lago-Açu", 2.4
"Coroatá", 19.4
"Cururupu", 2.5
"Davinópolis", 20.9
"Dom Pedro", 17.4
"Duque Bacelar", 35.8
"Esperantinópolis", 12.5
"Estreito", 8.9
"Feira Nova do Maranhão", 9.9
"Fernando Falcão", 0
"Formosa da Serra Negra", 1.6
"Fortaleza dos Nogueiras", 3.5
"Fortuna", 3.2
"Godofredo Viana", 25.1
"Gonçalves Dias", 3.3
"Governador Archer", 8.4
"Governador Edison Lobão", 33
"Governador Eugênio Barros", 2.2
"Governador Luiz Rocha", 18.4
"Governador Newton Bello", 2.7
"Governador Nunes Freire", 38.3
"Graça Aranha", 3.2
"Grajaú", 4.8
"Guimarães", 2.5
"Humberto de Campos", 9.5
"Icatu", 4.8
"Igarapé do Meio", 1.2
"Igarapé Grande", 18
"Imperatriz", 48.3
"Itaipava do Grajaú", 2.8
"Itapecuru Mirim", 30.7
"Itinga do Maranhão", 8
"Jatobá", 30.5
"Jenipapo dos Vieiras", 2.6
"João Lisboa", 6.8
"Joselândia", 3.3
"Junco do Maranhão", 50.2
"Lago da Pedra", 16.9
"Lago do Junco", 18.9
"Lago Verde", 12.4
"Lagoa do Mato", 1.2
"Lago dos Rodrigues", 0.9
"Lagoa Grande do Maranhão", 3.7
"Lajeado Novo", 5.5
