"Local", "Esgotamento sanitário adequado"
"Água Branca", 23.3
"Aguiar", 17.8
"Alagoa Grande", 49.4
"Alagoa Nova", 38.1
"Alagoinha", 9.1
"Alcantil", 4.7
"Algodão de Jandaíra", 45.7
"Alhandra", 9.3
"São João do Rio do Peixe", 32.2
"Amparo", 10
"Aparecida", 4.7
"Araçagi", 12.4
"Arara", 49.4
"Araruna", 42
"Areia", 41.9
"Areia de Baraúnas", 42
"Areial", 57.3
"Aroeiras", 23.5
"Assunção", 46.7
"Baía da Traição", 11.6
"Bananeiras", 26.6
"Baraúna", 40.4
"Barra de Santana", 4.5
"Barra de Santa Rosa", 51.3
"Barra de São Miguel", 12.2
"Bayeux", 45.9
"Belém", 81.3
"Belém do Brejo do Cruz", 55.5
"Bernardino Batista", 0.9
"Boa Ventura", 9.5
"Boa Vista", 14.2
"Bom Jesus", 1
"Bom Sucesso", 20.1
"Bonito de Santa Fé", 43.6
"Boqueirão", 50
"Igaracy", 31.9
"Borborema", 63.6
"Brejo do Cruz", 64.7
"Brejo dos Santos", 9.3
"Caaporã", 16.7
"Cabaceiras", 26.1
"Cabedelo", 51.1
"Cachoeira dos Índios", 23.7
"Cacimba de Areia", 41.7
"Cacimba de Dentro", 13.1
"Cacimbas", 30.5
"Caiçara", 51.9
"Cajazeiras", 54.8
"Cajazeirinhas", 29.4
"Caldas Brandão", 5.6
"Camalaú", 17.9
"Campina Grande", 84.1
"Capim", 5.7
"Caraúbas", 36.2
"Carrapateira", 17
"Casserengue", 30.4
"Catingueira", 17.8
"Catolé do Rocha", 37.6
"Caturité", 19.6
"Conceição", 22.7
"Condado", 36.4
"Conde", 16.7
"Congo", 47
"Coremas", 51.3
"Coxixola", 31.6
"Cruz do Espírito Santo", 21.9
"Cubati", 22
"Cuité", 15
"Cuitegi", 4.3
"Cuité de Mamanguape", 2.1
"Curral de Cima", 3.6
"Curral Velho", 32.7
"Damião", 1.4
"Desterro", 37
"Vista Serrana", 35.1
"Diamante", 23.4
"Dona Inês", 18.6
"Duas Estradas", 25
"Emas", 57.1
"Esperança", 62.7
"Fagundes", 10.8
"Frei Martinho", 63.4
"Gado Bravo", 1.7
"Guarabira", 68.8
"Gurinhém", 7.6
"Gurjão", 42.7
"Ibiara", 4.7
"Imaculada", 23.2
"Ingá", 5.1
"Itabaiana", 34.6
"Itaporanga", 65.2
"Itapororoca", 9.9
"Itatuba", 20.7
"Jacaraú", 9.1
"Jericó", 41.6
"João Pessoa", 70.8
"Juarez Távora", 10.1
"Juazeirinho", 57.6
"Junco do Seridó", 63.5
"Juripiranga", 7.3
"Juru", 23.7
"Lagoa", 16.9
"Lagoa de Dentro", 19.9
"Lagoa Seca", 52.4
"Lastro", 13.6
"Livramento", 36.6
"Logradouro", 35.6
"Lucena", 29.7
"Mãe d'Água", 40.5
"Malta", 75.1
"Mamanguape", 8.3
"Manaíra", 13.2
"Marcação", 23.2
"Mari", 1.6
"Marizópolis", 16.5
"Massaranduba", 30.1
"Mataraca", 4.1
"Matinhas", 11.7
"Mato Grosso", 55.3
"Maturéia", 21
"Mogeiro", 5.8
"Montadas", 36.6
"Monte Horebe", 48.9
"Monteiro", 56.1
"Mulungu", 6.4
"Natuba", 15.7
"Nazarezinho", 18.6
"Nova Floresta", 2.2
"Nova Olinda", 24.9
"Nova Palmeira", 61.1
"Olho d'Água", 40.7
"Olivedos", 42.3
"Ouro Velho", 2.3
"Parari", 53.9
"Passagem", 56
"Patos", 85.5
"Paulista", 33.6
"Pedra Branca", 66.2
"Pedra Lavrada", 39.5
"Pedras de Fogo", 26.9
"Piancó", 47.9
"Picuí", 60.8
"Pilar", 16.7
"Pilões", 9.6
"Pilõezinhos", 38.2
"Pirpirituba", 47.9
"Pitimbu", 17.1
"Pocinhos", 37.5
"Poço Dantas", 13.7
"Poço de José de Moura", 34.2
"Pombal", 60.8
"Prata", 1.4
"Princesa Isabel", 57.1
"Puxinanã", 76.1
"Queimadas", 46.5
"Quixaba", 34.5
"Remígio", 52.5
"Pedro Régis", 1.7
"Riachão", 24.4
"Riachão do Bacamarte", 20.3
"Riachão do Poço", 19.3
"Riacho de Santo Antônio", 38.2
"Riacho dos Cavalos", 51.5
"Rio Tinto", 26.6
"Salgadinho", 15.9
"Salgado de São Félix", 3.4
"Santa Cecília", 5.5
"Santa Cruz", 27.3
"Santa Helena", 22.5
"Santa Inês", 4.7
"Santa Luzia", 85.5
"Santana de Mangueira", 5.1
"Santana dos Garrotes", 13
"Joca Claudino", 0.7
"Santa Rita", 21.1
"Santa Teresinha", 91
"Santo André", 8.9
"São Bento", 57
"São Bentinho", 37.8
"São Domingos do Cariri", 33.5
"São Domingos", 25.4
"São Francisco", 14.2
"São João do Cariri", 55.9
"São João do Tigre", 25.6
"São José da Lagoa Tapada", 19.2
"São José de Caiana", 0.7
"São José de Espinharas", 30.2
"São José dos Ramos", 4.7
"São José de Piranhas", 47.9
"São José de Princesa", 1
"São José do Bonfim", 73
"São José do Brejo do Cruz", 14
"São José do Sabugi", 83.4
"São José dos Cordeiros", 51
"São Mamede", 72.8
"São Miguel de Taipu", 32.6
"São Sebastião de Lagoa de Roça", 30.4
"São Sebastião do Umbuzeiro", 33.9
"Sapé", 27.7
"São Vicente do Seridó", 2.6
"Serra Branca", 24.3
"Serra da Raiz", 9.7
"Serra Grande", 32
"Serra Redonda", 29.5
"Serraria", 27.3
"Sertãozinho", 53.7
"Sobrado", 1.5
"Solânea", 20.3
"Soledade", 55.4
"Sossêgo", 29
"Sousa", 66.4
"Sumé", 24.2
"Tacima", 11.7
"Taperoá", 55.3
"Tavares", 25.3
"Teixeira", 32
"Tenório", 2.3
"Triunfo", 22.4
"Uiraúna", 57.5
"Umbuzeiro", 29.8
"Várzea", 68.7
"Vieirópolis", 1.9
"Zabelê", 51.3
