"Local", "Esgotamento sanitário adequado"
"Abreu e Lima", 44.8
"Afogados da Ingazeira", 71
"Afrânio", 24.2
"Agrestina", 67.8
"Água Preta", 40.6
"Águas Belas", 29.1
"Alagoinha", 47.9
"Aliança", 55.8
"Altinho", 52.4
"Amaraji", 50.8
"Angelim", 54.7
"Araçoiaba", 9.3
"Araripina", 45.6
"Arcoverde", 86.4
"Barra de Guabiraba", 74.5
"Barreiros", 44.2
"Belém de Maria", 43.7
"Belém do São Francisco", 42.6
"Belo Jardim", 70.8
"Betânia", 32.8
"Bezerros", 73
"Bodocó", 24.5
"Bom Conselho", 54.4
"Bom Jardim", 22.1
"Bonito", 65.4
"Brejão", 29.8
"Brejinho", 44.8
"Brejo da Madre de Deus", 56.4
"Buenos Aires", 15.1
"Buíque", 30.7
"Cabo de Santo Agostinho", 50.9
"Cabrobó", 63.5
"Cachoeirinha", 71.8
"Caetés", 24.4
"Calçado", 41.7
"Calumbi", 45.7
"Camaragibe", 40.5
"Camocim de São Félix", 76.2
"Camutanga", 29.4
"Canhotinho", 54.2
"Capoeiras", 31.6
"Carnaíba", 41.9
"Carnaubeira da Penha", 14.2
"Carpina", 15
"Caruaru", 81.3
"Casinhas", 11.5
"Catende", 61.4
"Cedro", 53.9
"Chã de Alegria", 19.7
"Chã Grande", 45.3
"Condado", 3.9
"Correntes", 48.8
"Cortês", 55.4
"Cumaru", 20.5
"Cupira", 79.9
"Custódia", 52
"Dormentes", 70.8
"Escada", 37
"Exu", 16.9
"Feira Nova", 21.1
"Fernando de Noronha", 82.7
"Ferreiros", 49.3
"Flores", 31.9
"Floresta", 40.3
"Frei Miguelinho", 13.9
"Gameleira", 54.3
"Garanhuns", 52.1
"Glória do Goitá", 34.2
"Goiana", 33.5
"Granito", 29.8
"Gravatá", 65
"Iati", 35.5
"Ibimirim", 33.6
"Ibirajuba", 45.8
"Igarassu", 19.9
"Iguaracy", 36.3
"Inajá", 23
"Ingazeira", 42.9
"Ipojuca", 50.6
"Ipubi", 20.9
"Itacuruba", 82.2
"Itaíba", 31.2
"Ilha de Itamaracá", 20.5
"Itambé", 18.4
"Itapetim", 51.5
"Itapissuma", 25
"Itaquitinga", 9.5
"Jaboatão dos Guararapes", 45.4
"Jaqueira", 33.1
"Jataúba", 55.9
"Jatobá", 68
"João Alfredo", 17.3
"Joaquim Nabuco", 49.9
"Jucati", 48.3
"Jupi", 50.5
"Jurema", 61.7
"Lagoa do Carro", 9.8
"Lagoa de Itaenga", 14.5
"Lagoa do Ouro", 52.3
"Lagoa dos Gatos", 45
"Lagoa Grande", 40.4
"Lajedo", 63.9
"Limoeiro", 44.8
"Macaparana", 59.4
"Machados", 23.8
"Manari", 5.6
"Maraial", 22.3
"Mirandiba", 54.2
"Moreno", 52.3
"Nazaré da Mata", 77.7
"Olinda", 56.6
"Orobó", 20.3
"Orocó", 36.9
"Ouricuri", 58.3
"Palmares", 55.9
"Palmeirina", 51
"Panelas", 55
"Paranatama", 4.6
"Parnamirim", 33.9
"Passira", 17.3
"Paudalho", 31.5
"Paulista", 60.8
"Pedra", 41.4
"Pesqueira", 60.8
"Petrolândia", 69.7
"Petrolina", 72.7
"Poção", 43.8
"Pombos", 66.1
"Primavera", 44.9
"Quipapá", 47.4
"Quixaba", 28
"Recife", 69.2
"Riacho das Almas", 49.4
"Ribeirão", 64.8
"Rio Formoso", 32.5
"Sairé", 30.1
"Salgadinho", 14.4
"Salgueiro", 62.8
"Saloá", 36.4
"Sanharó", 50
"Santa Cruz", 25.3
"Santa Cruz da Baixa Verde", 43.4
"Santa Cruz do Capibaribe", 87.6
"Santa Filomena", 8.6
"Santa Maria da Boa Vista", 40.1
"Santa Maria do Cambucá", 23.2
"Santa Terezinha", 49.5
"São Benedito do Sul", 23.9
"São Bento do Una", 45.7
"São Caitano", 50.2
"São João", 25.7
"São Joaquim do Monte", 64.7
"São José da Coroa Grande", 4.3
"São José do Belmonte", 33.9
"São José do Egito", 63.2
"São Lourenço da Mata", 38.4
"São Vicente Férrer", 55.8
"Serra Talhada", 70.2
"Serrita", 34.4
"Sertânia", 56.3
"Sirinhaém", 33.4
"Moreilândia", 11.2
"Solidão", 36.4
"Surubim", 58
"Tabira", 70.7
"Tacaimbó", 53.6
"Tacaratu", 21.2
"Tamandaré", 17.9
"Taquaritinga do Norte", 43.1
"Terezinha", 56.3
"Terra Nova", 46.9
"Timbaúba", 66.2
"Toritama", 79.5
"Tracunhaém", 24.9
"Trindade", 42.4
"Triunfo", 19.8
"Tupanatinga", 29.9
"Tuparetama", 59.5
"Venturosa", 54.7
"Verdejante", 40.2
"Vertente do Lério", 16
"Vertentes", 39
"Vicência", 58.8
"Vitória de Santo Antão", 63.3
"Xexéu", 55.4
