"Local", "Esgotamento sanitário adequado"
"Acauã", 1.5
"Agricolândia", 58.3
"Água Branca", 2
"Alagoinha do Piauí", 6.9
"Alegrete do Piauí", 2.4
"Alto Longá", 4.4
"Altos", 7.4
"Alvorada do Gurguéia", 1.1
"Amarante", 9
"Angical do Piauí", 7.8
"Anísio de Abreu", 18.6
"Antônio Almeida", 13.8
"Aroazes", 1.4
"Aroeiras do Itaim", 11.1
"Arraial", 10
"Assunção do Piauí", 14.2
"Avelino Lopes", 1.3
"Baixa Grande do Ribeiro", 2.1
"Barra D'Alcântara", 0.7
"Barras", 23.6
"Barreiras do Piauí", 0.5
"Barro Duro", 64.7
"Batalha", 25.2
"Bela Vista do Piauí", 31.2
"Belém do Piauí", 25.1
"Beneditinos", 37.9
"Bertolínia", 1.3
"Betânia do Piauí", 0.1
"Boa Hora", 18.3
"Bocaina", 23.1
"Bom Jesus", 9.2
"Bom Princípio do Piauí", 19.2
"Bonfim do Piauí", 4.2
"Boqueirão do Piauí", 8.7
"Brasileira", 27.5
"Brejo do Piauí", 0
"Buriti dos Lopes", 31.4
"Buriti dos Montes", 42.7
"Cabeceiras do Piauí", 31.4
"Cajazeiras do Piauí", 44.8
"Cajueiro da Praia", 13.8
"Caldeirão Grande do Piauí", 0.1
"Campinas do Piauí", 1.2
"Campo Alegre do Fidalgo", 0.1
"Campo Grande do Piauí", 12.6
"Campo Largo do Piauí", 0.9
"Campo Maior", 28.9
"Canavieira", 10.4
"Canto do Buriti", 2.7
"Capitão de Campos", 7.6
"Capitão Gervásio Oliveira", 4.6
"Caracol", 34.6
"Caraúbas do Piauí", 25.2
"Caridade do Piauí", 0.1
"Castelo do Piauí", 17
"Caxingó", 28.6
"Cocal", 0.7
"Cocal de Telha", 34.2
"Cocal dos Alves", 11.2
"Coivaras", 5.2
"Colônia do Gurguéia", 1.6
"Colônia do Piauí", 0.8
"Conceição do Canindé", 51.8
"Coronel José Dias", 19.9
"Corrente", 11.6
"Cristalândia do Piauí", 1.1
"Cristino Castro", 1.9
"Curimatá", 4.9
"Currais", 0.4
"Curralinhos", 43.7
"Curral Novo do Piauí", 0.5
"Demerval Lobão", 2.3
"Dirceu Arcoverde", 0.7
"Dom Expedito Lopes", 3.6
"Domingos Mourão", 42.2
"Dom Inocêncio", 6.2
"Elesbão Veloso", 53.6
"Eliseu Martins", 37.1
"Esperantina", 4
"Fartura do Piauí", 1.5
"Flores do Piauí", 34
"Floresta do Piauí", 1.5
"Floriano", 32.9
"Francinópolis", 0.8
"Francisco Ayres", 28.2
"Francisco Macedo", 2.6
"Francisco Santos", 7.8
"Fronteiras", 43.2
"Geminiano", 8
"Gilbués", 3.4
"Guadalupe", 29.4
"Guaribas", 29.2
"Hugo Napoleão", 44
"Ilha Grande", 4.4
"Inhuma", 4.7
