"Local", "Esgotamento sanitário adequado"
"Acari", 81.4
"Açu", 13.3
"Afonso Bezerra", 51.3
"Água Nova", 7.1
"Alexandria", 56.1
"Almino Afonso", 12.8
"Alto do Rodrigues", 8.4
"Angicos", 38.3
"Antônio Martins", 24.6
"Apodi", 10.5
"Areia Branca", 29.4
"Arês", 20.8
"Augusto Severo", 16.6
"Baía Formosa", 10.1
"Baraúna", 9.8
"Barcelona", 23.7
"Bento Fernandes", 14.4
"Bodó", 40.9
"Bom Jesus", 10.8
"Brejinho", 32.3
"Caiçara do Norte", 40.5
"Caiçara do Rio do Vento", 56.8
"Caicó", 76.3
"Campo Redondo", 43.5
"Canguaretama", 5.4
"Caraúbas", 12.7
"Carnaúba dos Dantas", 16.3
"Carnaubais", 45.3
"Ceará-Mirim", 54.5
"Cerro Corá", 4.8
"Coronel Ezequiel", 20.1
"Coronel João Pessoa", 0.3
"Cruzeta", 65.4
"Currais Novos", 82.2
"Doutor Severiano", 24.9
"Parnamirim", 56.5
"Encanto", 16.3
"Equador", 49
"Espírito Santo", 19.2
"Extremoz", 37.7
"Felipe Guerra", 4.7
"Fernando Pedroza", 7.2
"Florânia", 72.3
"Francisco Dantas", 1.1
"Frutuoso Gomes", 1.7
"Galinhos", 0.9
"Goianinha", 42.2
"Governador Dix-Sept Rosado", 32.4
"Grossos", 18.3
"Guamaré", 37.4
"Ielmo Marinho", 18.5
"Ipanguaçu", 18.6
"Ipueira", 2
"Itajá", 16.1
"Itaú", 3.4
"Jaçanã", 0.7
"Jandaíra", 14
"Janduís", 42.1
"Januário Cicco", 11.1
"Japi", 51.4
"Jardim de Angicos", 8.9
"Jardim de Piranhas", 21.2
"Jardim do Seridó", 73.1
"João Câmara", 17.5
"João Dias", 37.6
"José da Penha", 22.1
"Jucurutu", 31.5
"Jundiá", 7.9
"Lagoa d'Anta", 6.5
"Lagoa de Pedras", 9.4
"Lagoa de Velhos", 17.6
"Lagoa Nova", 44.8
"Lagoa Salgada", 2.1
"Lajes", 59.9
"Lajes Pintadas", 33.2
"Lucrécia", 72.4
"Luís Gomes", 3.8
"Macaíba", 19.3
"Macau", 70
"Major Sales", 21.7
"Marcelino Vieira", 30.2
"Martins", 0.3
"Maxaranguape", 5.1
"Messias Targino", 18
"Montanhas", 4.9
"Monte Alegre", 23.3
"Monte das Gameleiras", 23.9
"Mossoró", 64.6
"Natal", 61.8
"Nísia Floresta", 22.1
"Nova Cruz", 13.6
"Olho d'Água do Borges", 2.4
"Ouro Branco", 16.3
"Paraná", 1.1
"Paraú", 18.4
"Parazinho", 44.9
"Parelhas", 70.1
"Rio do Fogo", 0.8
"Passa e Fica", 58.1
"Passagem", 5.4
"Patu", 21
"Santa Maria", 1.2
"Pau dos Ferros", 57.5
"Pedra Grande", 3.4
"Pedra Preta", 4.3
"Pedro Avelino", 46.9
"Pedro Velho", 36
"Pendências", 61.7
"Pilões", 23.7
"Poço Branco", 9.1
"Portalegre", 1.1
"Porto do Mangue", 0.2
"Serra Caiada", 27.3
"Pureza", 1.3
"Rafael Fernandes", 19.5
"Rafael Godeiro", 4.1
"Riacho da Cruz", 57.9
"Riacho de Santana", 14.9
"Riachuelo", 59.3
"Rodolfo Fernandes", 22.3
"Tibau", 31.3
"Ruy Barbosa", 0.9
"Santa Cruz", 81.2
"Santana do Matos", 57.8
"Santana do Seridó", 63.1
"Santo Antônio", 20.2
"São Bento do Norte", 67.4
"São Bento do Trairí", 68.9
"São Fernando", 36.2
"São Francisco do Oeste", 0.5
"São Gonçalo do Amarante", 65.1
"São João do Sabugi", 4.3
"São José de Mipibu", 19.3
"São José do Campestre", 41.8
"São José do Seridó", 63.9
"São Miguel", 3.9
"São Miguel do Gostoso", 2.8
"São Paulo do Potengi", 57.7
"São Pedro", 2.9
"São Rafael", 60.2
"São Tomé", 25.4
"São Vicente", 57.1
"Senador Elói de Souza", 17.3
"Senador Georgino Avelino", 1.6
"Serra de São Bento", 12
"Serra do Mel", 1.4
"Serra Negra do Norte", 73.3
"Serrinha", 3.8
"Serrinha dos Pintos", 0.7
"Severiano Melo", 10.1
"Sítio Novo", 13.4
"Taboleiro Grande", 1.2
"Taipu", 6.4
"Tangará", 75.4
"Tenente Ananias", 28.8
"Tenente Laurentino Cruz", 6.2
"Tibau do Sul", 19.8
"Timbaúba dos Batistas", 97.3
"Touros", 19.1
"Triunfo Potiguar", 1.3
"Umarizal", 4.7
"Upanema", 1.3
"Várzea", 13.3
"Venha-Ver", 3.6
"Vera Cruz", 3.4
"Viçosa", 73.4
"Vila Flor", 1.7
