"Local", "Esgotamento sanitário adequado"
"Amparo de São Francisco", 18.8
"Aquidabã", 37
"Aracaju", 87.2
"Arauá", 13.4
"Areia Branca", 8.6
"Barra dos Coqueiros", 64.5
"Boquim", 0.9
"Brejo Grande", 1.1
"Campo do Brito", 15.5
"Canhoba", 4
"Canindé de São Francisco", 44.4
"Capela", 14.1
"Carira", 16.6
"Carmópolis", 83.4
"Cedro de São João", 39.6
"Cristinápolis", 1.9
"Cumbe", 12
"Divina Pastora", 12.2
"Estância", 17.7
"Feira Nova", 22.9
"Frei Paulo", 9
"Gararu", 29.3
"General Maynard", 38
"Gracho Cardoso", 23.3
"Ilha das Flores", 11.4
"Indiaroba", 2.5
"Itabaiana", 58.6
"Itabaianinha", 40.6
"Itabi", 25.2
"Itaporanga d'Ajuda", 22.5
"Japaratuba", 8.1
"Japoatã", 2.4
"Lagarto", 28
"Laranjeiras", 34.6
"Macambira", 39
"Malhada dos Bois", 11.8
"Malhador", 4
"Maruim", 58
"Moita Bonita", 26.8
"Monte Alegre de Sergipe", 45.7
"Muribeca", 16
"Neópolis", 22.9
"Nossa Senhora Aparecida", 39.7
"Nossa Senhora da Glória", 34
"Nossa Senhora das Dores", 7.8
"Nossa Senhora de Lourdes", 14.4
"Nossa Senhora do Socorro", 61.1
"Pacatuba", 8.7
"Pedra Mole", 49.2
"Pedrinhas", 15.4
"Pinhão", 39
"Pirambu", 15.9
"Poço Redondo", 41.1
"Poço Verde", 44.1
"Porto da Folha", 36.1
"Propriá", 72.9
"Riachão do Dantas", 3.7
"Riachuelo", 57.8
"Ribeirópolis", 55.8
"Rosário do Catete", 39.8
"Salgado", 1.8
"Santa Luzia do Itanhy", 12.9
"Santana do São Francisco", 55.3
"Santa Rosa de Lima", 14.5
"Santo Amaro das Brotas", 7.4
"São Cristóvão", 38.3
"São Domingos", 1.3
"São Francisco", 6.5
"São Miguel do Aleixo", 38.2
"Simão Dias", 47.6
"Siriri", 27
"Telha", 69.7
"Tobias Barreto", 65.3
"Tomar do Geru", 4.8
"Umbaúba", 1.2
